output_file,field_name,field_label,description,source,source_field,calculation,unit,denominator,geography,time_period,limitations
tableau_market_quarter.csv,funded_plan_count,Funded Plan Count,Prepared Tableau field. See methodology notes and source register for provenance.,local curated NDIA service-area-quarter source,funded_plans_count,,count,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,participants_per_1000,Participants Per 1000,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,"per 1,000 population or funded plans as named",population_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plans_per_1000,Funded Plans Per 1000,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,"per 1,000 population or funded plans as named",population_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,participant_growth_rate,Participant Growth Rate,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,decimal,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Unavailable where participant_count is missing.
tableau_market_quarter.csv,funded_plan_growth_rate,Funded Plan Growth Rate,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,decimal,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_funding,Mean Plan Funding,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,median_plan_funding,Median Plan Funding,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,committed_supports,Committed Supports,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payment_amount,Payment Amount,Prepared Tableau field. See methodology notes and source register for provenance.,local curated NDIA service-area-quarter source,service_area_payment_amount,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payments_per_funded_plan,Payments Per Funded Plan,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,funded_plan_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payments_per_participant,Payments Per Participant,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,participant_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payments_per_1000_population,Payments Per 1000 Population,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,population_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funding_conversion_rate,Funding Conversion Rate,Payments divided by committed supports.,derived pipeline output,,payment_amount / committed_supports,decimal,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,unspent_committed_funding,Unspent Committed Funding,Committed supports minus payments.,derived pipeline output,,committed_supports - payment_amount,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,unspent_funding_per_funded_plan,Unspent Funding Per Funded Plan,Unspent committed funding divided by funded plans.,derived pipeline output,,unspent_committed_funding / funded_plan_count,AUD,funded_plan_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_utilisation,Mean Plan Utilisation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_funded_plans_per_1000,Benchmark National Funded Plans Per 1000,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,"per 1,000 population or funded plans as named",,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_median_funded_plans_per_1000,Benchmark National Median Funded Plans Per 1000,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,"per 1,000 population or funded plans as named",,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_mean_plan_utilisation,Benchmark National Mean Plan Utilisation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_median_plan_utilisation,Benchmark National Median Plan Utilisation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_provider_saturation,Benchmark National Provider Saturation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_median_provider_saturation,Benchmark National Median Provider Saturation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_active_providers_per_1000_funded_plans,Benchmark National Active Providers Per 1000 Funded Plans,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_median_active_providers_per_1000_funded_plans,Benchmark National Median Active Providers Per 1000 Funded Plans,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_mean_plan_funding,Benchmark National Mean Plan Funding,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_national_payments_per_funded_plan,Benchmark National Payments Per Funded Plan,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,funded_plan_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_remoteness_funded_plans_per_1000,Benchmark Remoteness Funded Plans Per 1000,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,"per 1,000 population or funded plans as named",,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_remoteness_mean_plan_utilisation,Benchmark Remoteness Mean Plan Utilisation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_remoteness_mean_plan_funding,Benchmark Remoteness Mean Plan Funding,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,benchmark_remoteness_payments_per_funded_plan,Benchmark Remoteness Payments Per Funded Plan,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,funded_plan_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plans_per_1000_gap_from_national,Funded Plans Per 1000 Gap From National,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plans_per_1000_delta_from_national_mean,Funded Plans Per 1000 Delta From National Mean,"Funded plans per 1,000 population minus the national mean for the same quarter.",derived pipeline output,,funded_plans_per_1000 - benchmark_national_funded_plans_per_1000,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plans_per_1000_delta_from_national_median,Funded Plans Per 1000 Delta From National Median,"Funded plans per 1,000 population minus the national service-area median for the same quarter.",derived pipeline output,,funded_plans_per_1000 - benchmark_national_median_funded_plans_per_1000,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_utilisation_gap_from_national,Mean Plan Utilisation Gap From National,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_utilisation_delta_from_national_median,Mean Plan Utilisation Delta From National Median,Mean plan utilisation minus the national median service-area utilisation for the same quarter.,derived pipeline output,,mean_plan_utilisation - benchmark_national_median_plan_utilisation,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_funding_gap_from_national,Mean Plan Funding Gap From National,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payments_per_funded_plan_gap_from_national,Payments Per Funded Plan Gap From National,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,funded_plan_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plans_per_1000_gap_from_remoteness,Funded Plans Per 1000 Gap From Remoteness,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_utilisation_gap_from_remoteness,Mean Plan Utilisation Gap From Remoteness,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_funding_gap_from_remoteness,Mean Plan Funding Gap From Remoteness,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payments_per_funded_plan_gap_from_remoteness,Payments Per Funded Plan Gap From Remoteness,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,funded_plan_count,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,active_provider_count,Active Provider Count,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,count,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,registered_provider_count,Registered Provider Count,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,count,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plans_per_active_provider,Funded Plans Per Active Provider,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,participants_per_active_provider,Participants Per Active Provider,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,active_providers_per_1000_funded_plans,Active Providers Per 1000 Funded Plans,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,provider_saturation_delta_from_national_mean,Provider Saturation Delta From National Mean,Funded plans per active provider minus the national mean for the same quarter. Higher values indicate higher provider load.,derived pipeline output,,funded_plans_per_active_provider - benchmark_national_provider_saturation,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,provider_saturation_delta_from_national_median,Provider Saturation Delta From National Median,Funded plans per active provider minus the national service-area median for the same quarter. Higher values indicate higher provider load.,derived pipeline output,,funded_plans_per_active_provider - benchmark_national_median_provider_saturation,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,active_provider_rate_delta_from_national_mean,Active Provider Rate Delta From National Mean,"Active providers per 1,000 funded plans minus the national mean for the same quarter.",derived pipeline output,,active_providers_per_1000_funded_plans - benchmark_national_active_providers_per_1000_funded_plans,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,active_provider_rate_delta_from_national_median,Active Provider Rate Delta From National Median,"Active providers per 1,000 funded plans minus the national service-area median for the same quarter.",derived pipeline output,,active_providers_per_1000_funded_plans - benchmark_national_median_active_providers_per_1000_funded_plans,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,atlas_default_metric_value,Atlas Default Metric Value,"Default atlas colour metric combining funded-plan coverage gaps, utilisation gaps and provider saturation signals.",derived pipeline output,,"mean of quarter-relative funded-plan coverage gap, utilisation gap and provider saturation proxy scores",,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Composite visual priority score only; inspect the individual delta fields before drawing conclusions.
tableau_market_quarter.csv,atlas_default_metric_label,Atlas Default Metric Label,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,atlas_metric_interpretation,Atlas Metric Interpretation,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,atlas_utilisation_median_band,Atlas Utilisation Median Band,Atlas colour band derived from mean plan utilisation minus the national service-area median for the same quarter.,derived pipeline output,,"categorise mean_plan_utilisation_delta_from_national_median as below, near or above national median",,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,provider_growth_rate,Provider Growth Rate,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,decimal,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payment_growth_rate,Payment Growth Rate,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,decimal,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,plan_value_growth_rate,Plan Value Growth Rate,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,decimal,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,supply_response_gap,Supply Response Gap,"Participant growth rate minus provider growth rate. This is a market-density indicator, not a caseload measure.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funding_conversion_gap,Funding Conversion Gap,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plan_volume_score,Funded Plan Volume Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plan_density_score,Funded Plan Density Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payment_intensity_score,Payment Intensity Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,unspent_funding_score,Unspent Funding Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,utilisation_gap_score,Utilisation Gap Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funded_plan_coverage_gap_score,Funded Plan Coverage Gap Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,mean_plan_funding_gap_score,Mean Plan Funding Gap Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,payment_intensity_gap_score,Payment Intensity Gap Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,provider_load_score,Provider Load Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,growth_pressure_score,Growth Pressure Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,funding_conversion_gap_score,Funding Conversion Gap Score,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,AUD,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,underfunded_advocacy_score,Underfunded Advocacy Score,"Quarter-relative proxy score for funding or access gaps, based on funded-plan coverage, mean plan funding and payment-intensity gaps against remoteness peers.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,utilisation_barrier_score,Utilisation Barrier Score,"Quarter-relative proxy score for utilisation friction, based on below-peer utilisation, unspent committed funding and funding-conversion gaps.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,underserviced_provider_score,Underserviced Provider Score,"Quarter-relative proxy score for potential under-service, based on provider load, supply response and utilisation gap indicators.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,business_opportunity_score,Business Opportunity Score,"Quarter-relative proxy score for commercial opportunity, combining market scale, payment intensity, utilisation friction, provider load and unspent funding signals.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output","Proxy score for triage and prioritisation only. It does not prove unmet demand, provider shortage or future revenue."
tableau_market_quarter.csv,advocacy_opportunity_score,Advocacy Opportunity Score,"Quarter-relative proxy score for advocacy priority, combining under-funding, under-service and utilisation-barrier signals.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Proxy score for triage and prioritisation only. It should be interpreted with local evidence and participant/community context.
tableau_market_quarter.csv,combined_opportunity_score,Combined Opportunity Score,Mean of business and advocacy opportunity proxy scores.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,opportunity_rank,Opportunity Rank,"Quarter-specific rank by combined opportunity score, where 1 is the highest-ranked service area.",derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,opportunity_segment,Opportunity Segment,Readable service-area opportunity segment derived from the proxy scores.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,opportunity_reading_note,Opportunity Reading Note,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,market_density_indicator_note,Market Density Indicator Note,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,population_reference_year,Population Reference Year,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,population_method,Population Method,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,reliability_flag,Reliability Flag,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_support_type_quarter.csv,quarter,Quarter,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
